Country/Region,Recovered
Afghanistan,25198
Albania,2745
Algeria,18837
Andorra,803
Angola,242
Antigua and Barbuda,65
Argentina,72575
Armenia,26665
Australia,9311
Austria,18246
Azerbaijan,23242
Bahamas,91
Bahrain,36110
Bangladesh,125683
Barbados,94
Belarus,60492
Belgium,17452
Belize,26
Benin,1036
Bhutan,86
Bolivia,21478
Bosnia and Herzegovina,4930
Botswana,63
Brazil,1846641
Brunei,138
Bulgaria,5585
Burkina Faso,926
Burma,292
Burundi,301
Cabo Verde,1550
Cambodia,147
Cameroon,14539
Canada,0
Central African Republic,1546
Chad,810
Chile,319954
China,78869
Colombia,131161
Comoros,328
Congo (Brazzaville),829
Congo (Kinshasa),5700
Costa Rica,3824
Cote d'Ivoire,10361
Croatia,3936
Cuba,2351
Cyprus,852
Czechia,11428
Denmark,12605
Djibouti,4977
Dominica,18
Dominican Republic,30204
Ecuador,34896
Egypt,34838
El Salvador,7778
Equatorial Guinea,842
Eritrea,191
Estonia,1923
Eswatini,1025
Ethiopia,6386
Fiji,18
Finland,6920
France,81212
Gabon,4682
Gambia,66
Georgia,922
Germany,190314
Ghana,29801
Greece,1374
Greenland,13
Grenada,23
Guatemala,32455
Guinea,6257
Guinea-Bissau,803
Guyana,181
Haiti,4365
Holy See,12
Honduras,5039
Hungary,3329
Iceland,1823
India,951166
Indonesia,58173
Iran,255144
Iraq,77144
Ireland,23364
Israel,27133
Italy,198593
Jamaica,714
Japan,21970
Jordan,1041
Kazakhstan,54404
Kenya,7833
Kosovo,4027
Kuwait,55057
Kyrgyzstan,21205
Laos,19
Latvia,1045
Lebanon,1709
Lesotho,128
Liberia,646
Libya,577
Liechtenstein,81
Lithuania,1620
Luxembourg,4825
Madagascar,6260
Malawi,1645
Malaysia,8601
Maldives,2547
Mali,1913
Malta,665
Mauritania,4653
Mauritius,332
Mexico,303810
Moldova,16154
Monaco,104
Mongolia,222
Montenegro,809
Morocco,16553
Mozambique,0
Namibia,101
Nepal,13754
Netherlands,189
New Zealand,1514
Nicaragua,2492
Niger,1027
Nigeria,18203
North Macedonia,5564
Norway,8752
Oman,57028
Pakistan,241026
Panama,35086
Papua New Guinea,11
Paraguay,2905
Peru,272547
Philippines,26446
Poland,32856
Portugal,35375
Qatar,106328
Romania,25794
Russia,602249
Rwanda,975
Saint Kitts and Nevis,15
Saint Lucia,22
Saint Vincent and the Grenadines,39
San Marino,657
Sao Tome and Principe,734
Saudi Arabia,222936
Senegal,6477
Serbia,0
Seychelles,39
Sierra Leone,1317
Singapore,45692
Slovakia,1616
Slovenia,1733
Somalia,1543
South Africa,274925
South Korea,13007
South Sudan,1175
Spain,150376
Sri Lanka,2121
Sudan,5939
Suriname,925
Sweden,0
Switzerland,30900
Syria,0
Taiwan*,440
Tajikistan,6028
Tanzania,183
Thailand,3111
Timor-Leste,0
Togo,607
Trinidad and Tobago,128
Tunisia,1157
Turkey,210469
US,1325804
Uganda,986
Ukraine,37202
United Arab Emirates,52510
United Kingdom,1437
Uruguay,951
Uzbekistan,11674
Venezuela,9959
Vietnam,365
West Bank and Gaza,3752
Western Sahara,8
Yemen,833
Zambia,2815
Zimbabwe,542
